dist_lower,state_name,state_code,district_name,district_code
nainital,Uttarakhand,5,Nainital,51
pithoragarh,Uttarakhand,5,Pithoragarh,53
koch bihar,West Bengal                                       ,19,Coochbehar,308
kolkata,West Bengal                                       ,19,Kolkata,315
maldah,West Bengal                                       ,19,Maldah,316
murshidabad,West Bengal                                       ,19,Murshidabad,319
nadia,West Bengal                                       ,19,Nadia,320
north 24 parganas,West Bengal                                       ,19,24 Paraganas North,303
pashchim medinipur,West Bengal                                       ,19,Medinipur West,318
purba medinipur,West Bengal                                       ,19,Medinipur East,317
puruliya,West Bengal                                       ,19,Purulia,321
south 24 parganas,West Bengal                                       ,19,24 Paraganas South,304
alipurduar,West Bengal                                       ,19,Alipurduar,664
uttar dinajpur,West Bengal                                       ,19,Dinajpur Uttar,311
bankura,West Bengal                                       ,19,Bankura,305
barddhaman,West Bengal                                       ,19,Purba Bardhaman,306
birbhum,West Bengal                                       ,19,Birbhum,307
dakshin dinajpur,West Bengal                                       ,19,Dinajpur Dakshin,310
darjiling,West Bengal                                       ,19,Darjeeling,309
haora,West Bengal                                       ,19,Howrah,313
hugli,West Bengal                                       ,19,Hooghly,312
jalpaiguri,West Bengal                                       ,19,Jalpaiguri,314
dima hasao,Assam                                             ,18,Dima Hasao,299
goalpara,Assam                                             ,18,Goalpara,287
golaghat,Assam                                             ,18,Golaghat,288
hailakandi,Assam                                             ,18,Hailakandi,289
jorhat,Assam                                             ,18,Jorhat,290
kamrup metropolitan,Assam                                             ,18,Kamrup Metro,618
kamrup,Assam                                             ,18,Kamrup,291
karbi anglong,Assam                                             ,18,Karbi Anglong,292
karimganj,Assam                                             ,18,Karimganj,293
kokrajhar,Assam                                             ,18,Kokrajhar,294
baksa,Assam                                             ,18,Baksa,616
lakhimpur,Assam                                             ,18,Lakhimpur,295
morigaon,Assam                                             ,18,Marigaon,296
nagaon,Assam                                             ,18,Nagaon,297
nalbari,Assam                                             ,18,Nalbari,298
sivasagar,Assam                                             ,18,Sivasagar,300
sonitpur,Assam                                             ,18,Sonitpur,301
tinsukia,Assam                                             ,18,Tinsukia,302
udalguri,Assam                                             ,18,Udalguri,617
barpeta,Assam                                             ,18,Barpeta,280
bongaigaon,Assam                                             ,18,Bongaigaon,281
cachar,Assam                                             ,18,Cachar,282
chirang,Assam                                             ,18,Chirang,612
darrang,Assam                                             ,18,Darrang,283
dhemaji,Assam                                             ,18,Dhemaji,284
dhubri,Assam                                             ,18,Dhubri,285
dibrugarh,Assam                                             ,18,Dibrugarh,286
gaya,Bihar                                             ,10,Gaya,196
gopalganj,Bihar                                             ,10,Gopalganj,197
jamui,Bihar                                             ,10,Jamui,198
jehanabad,Bihar                                             ,10,Jehanabad,199
kaimur,Bihar                                             ,10,Kaimur (Bhabua),200
katihar,Bihar                                             ,10,Katihar,201
khagaria,Bihar                                             ,10,Khagaria,202
kishanganj,Bihar                                             ,10,Kishanganj,203
lakhisarai,Bihar                                             ,10,Lakhisarai,204
madhepura,Bihar                                             ,10,Madhepura,205
araria,Bihar                                             ,10,Araria,188
madhubani,Bihar                                             ,10,Madhubani,206
munger,Bihar                                             ,10,Munger,207
muzaffarpur,Bihar                                             ,10,Muzaffarpur,208
nalanda,Bihar                                             ,10,Nalanda,209
nawada,Bihar                                             ,10,Nawada,210
pashchim champaran,Bihar                                             ,10,Pashchim Champaran,211
patna,Bihar                                             ,10,Patna,212
purba champaran,Bihar                                             ,10,Purbi Champaran,213
purnia,Bihar                                             ,10,Purnia,214
rohtas,Bihar                                             ,10,Rohtas,215
arwal,Bihar                                             ,10,Arwal,611
saharsa,Bihar                                             ,10,Saharsa,216
samastipur,Bihar                                             ,10,Samastipur,217
saran,Bihar                                             ,10,Saran,218
sheikhpura,Bihar                                             ,10,Sheikhpura,219
sheohar,Bihar                                             ,10,Sheohar,220
sitamarhi,Bihar                                             ,10,Sitamarhi,221
siwan,Bihar                                             ,10,Siwan,222
supaul,Bihar                                             ,10,Supaul,223
vaishali,Bihar                                             ,10,Vaishali,224
banka,Bihar                                             ,10,Banka,190
begusarai,Bihar                                             ,10,Begusarai,191
bhagalpur,Bihar                                             ,10,Bhagalpur,192
bhojpur,Bihar                                             ,10,Bhojpur,193
buxar,Bihar                                             ,10,Buxar,194
darbhanga,Bihar                                             ,10,Darbhanga,195
chandigarh,Chandigarh,4,Chandigarh,44
durg,Chhattisgarh                                      ,22,Durg,378
gariaband,Chhattisgarh                                      ,22,Gariyaband,645
janjgir-champa,Chhattisgarh                                      ,22,Janjgir-Champa,379
jashpur,Chhattisgarh                                      ,22,Jashpur,380
kabeerdham,Chhattisgarh                                      ,22,Kabirdham,382
kondagaon,Chhattisgarh                                      ,22,Kondagaon,643
korba,Chhattisgarh                                      ,22,Korba,383
koriya,Chhattisgarh                                      ,22,Korea,384
mahasamund,Chhattisgarh                                      ,22,Mahasamund,385
mungeli,Chhattisgarh                                      ,22,Mungeli,647
baloda bazar,Chhattisgarh                                      ,22,Baloda Bazar,644
narayanpur,Chhattisgarh                                      ,22,Narayanpur,637
raipur,Chhattisgarh                                      ,22,Raipur,387
rajnandgaon,Chhattisgarh                                      ,22,Rajnandgaon,388
sukma,Chhattisgarh                                      ,22,Sukma,642
surajpur,Chhattisgarh                                      ,22,Surajpur,648
surguja,Chhattisgarh                                      ,22,Surguja,389
uttar bastar kanker,Chhattisgarh                                      ,22,Kanker,381
balod,Chhattisgarh                                      ,22,Balod,646
bastar,Chhattisgarh                                      ,22,Bastar,374
bemetara,Chhattisgarh                                      ,22,Bemetara,650
dantewada,Chhattisgarh                                      ,22,Dantewada,376
dhamtari,Chhattisgarh                                      ,22,Dhamtari,377
dadra and nagar haveli,The Dadra and Nagar Haveli and Daman and Diu,38,Dadra and Nagar Haveli,465
daman,The Dadra and Nagar Haveli and Daman and Diu,38,Daman,463
diu,The Dadra and Nagar Haveli and Daman and Diu,38,Diu,464
