district_name_data,dist_lower,state_name,state_code,district_name,district_code
Chennai,chennai,Tamil Nadu                                        ,33,Chennai,568
Vellore,vellore,Tamil Nadu                                        ,33,Vellore,595
Viluppuram,viluppuram,Tamil Nadu                                        ,33,Villupuram,596
Virudunagar,virudunagar,Tamil Nadu                                        ,33,Virudhunagar,597
Coimbatore,coimbatore,Tamil Nadu                                        ,33,Coimbatore,569
Cuddalore,cuddalore,Tamil Nadu                                        ,33,Cuddalore,570
Dharmapuri,dharmapuri,Tamil Nadu                                        ,33,Dharmapuri,571
Dindigul,dindigul,Tamil Nadu                                        ,33,Dindigul,572
Erode,erode,Tamil Nadu                                        ,33,Erode,573
Kancheepuram,kancheepuram,Tamil Nadu                                        ,33,Kanchipuram,574
Kanniyakumari,kanniyakumari,Tamil Nadu                                        ,33,Kanniyakumari,575
Warangal,warangal,Telangana,36,Warangal Rural,522
Adilabad,adilabad,Telangana,36,Adilabad,501
Hyderabad,hyderabad,Telangana,36,Hyderabad,507
Karimnagar,karimnagar,Telangana,36,Karimnagar,508
Khammam,khammam,Telangana,36,Khammam,509
Mahbubnagar,mahbubnagar,Telangana,36,Mahabubnagar,512
Medak,medak,Telangana,36,Medak,513
Nalgonda,nalgonda,Telangana,36,Nalgonda,514
Nizamabad,nizamabad,Telangana,36,Nizamabad,516
Ranga Reddy,ranga reddy,Telangana,36,Ranga Reddy,518
Dhalai,dhalai,Tripura                                           ,16,Dhalai,269
Gomati,gomati,Tripura                                           ,16,Gomati,654
Khowai,khowai,Tripura                                           ,16,Khowai,652
North Tripura,north tripura,Tripura                                           ,16,North Tripura,270
Sipahijala,sipahijala,Tripura                                           ,16,Sepahijala,653
South Tripura,south tripura,Tripura                                           ,16,South Tripura,271
Unokoti,unokoti,Tripura                                           ,16,Unakoti,655
West Tripura,west tripura,Tripura                                           ,16,West Tripura,272
Bahraich,bahraich,Uttar Pradesh                                     ,9,Bahraich,125
Ballia,ballia,Uttar Pradesh                                     ,9,Ballia,126
Balrampur,balrampur,Chhattisgarh                                      ,22,Balrampur,649
Balrampur,balrampur,Uttar Pradesh                                     ,9,Balrampur,127
Banda,banda,Uttar Pradesh                                     ,9,Banda,128
Barabanki,barabanki,Uttar Pradesh                                     ,9,Barabanki,129
Bareilly,bareilly,Uttar Pradesh                                     ,9,Bareilly,130
Basti,basti,Uttar Pradesh                                     ,9,Basti,131
Bijnor,bijnor,Uttar Pradesh                                     ,9,Bijnor,132
Budaun,budaun,Uttar Pradesh                                     ,9,Budaun,133
Bulandshahr,bulandshahr,Uttar Pradesh                                     ,9,Bulandshahr,134
Agra,agra,Uttar Pradesh                                     ,9,Agra,118
Chandauli,chandauli,Uttar Pradesh                                     ,9,Chandauli,135
Chitrakoot,chitrakoot,Uttar Pradesh                                     ,9,Chitrakoot,136
Deoria,deoria,Uttar Pradesh                                     ,9,Deoria,137
Etah,etah,Uttar Pradesh                                     ,9,Etah,138
Etawah,etawah,Uttar Pradesh                                     ,9,Etawah,139
Faizabad,faizabad,Uttar Pradesh                                     ,9,Ayodhya,140
Farrukhabad,farrukhabad,Uttar Pradesh                                     ,9,Farrukhabad,141
Fatehpur,fatehpur,Uttar Pradesh                                     ,9,Fatehpur,142
Firozabad,firozabad,Uttar Pradesh                                     ,9,Firozabad,143
Gautam Buddha Nagar,gautam buddha nagar,Uttar Pradesh                                     ,9,Gautam Buddha Nagar,144
Aligarh,aligarh,Uttar Pradesh                                     ,9,Aligarh,119
Ghaziabad,ghaziabad,Uttar Pradesh                                     ,9,Ghaziabad,145
Ghazipur,ghazipur,Uttar Pradesh                                     ,9,Ghazipur,146
Gonda,gonda,Uttar Pradesh                                     ,9,Gonda,147
Gorakhpur,gorakhpur,Uttar Pradesh                                     ,9,Gorakhpur,148
Hapur,hapur,Uttar Pradesh                                     ,9,Hapur,661
Hardoi,hardoi,Uttar Pradesh                                     ,9,Hardoi,150
Hathras,hathras,Uttar Pradesh                                     ,9,Hathras,163
Jalaun,jalaun,Uttar Pradesh                                     ,9,Jalaun,151
Jaunpur,jaunpur,Uttar Pradesh                                     ,9,Jaunpur,152
Allahabad,allahabad,Uttar Pradesh                                     ,9,Prayagraj,120
Jhansi,jhansi,Uttar Pradesh                                     ,9,Jhansi,153
Kannauj,kannauj,Uttar Pradesh                                     ,9,Kannauj,155
Kanpur Dehat,kanpur dehat,Uttar Pradesh                                     ,9,Kanpur Dehat,156
Kanpur Nagar,kanpur nagar,Uttar Pradesh                                     ,9,Kanpur Nagar,157
Kasganj,kasganj,Uttar Pradesh                                     ,9,Kasganj,633
Kaushambi,kaushambi,Uttar Pradesh                                     ,9,Kaushambi,158
Kushinagar,kushinagar,Uttar Pradesh                                     ,9,Kushi Nagar,160
Lakhimpur Kheri,lakhimpur kheri,Uttar Pradesh                                     ,9,Kheri,159
Lalitpur,lalitpur,Uttar Pradesh                                     ,9,Lalitpur,161
Lucknow,lucknow,Uttar Pradesh                                     ,9,Lucknow,162
Ambedkar Nagar,ambedkar nagar,Uttar Pradesh                                     ,9,Ambedkar Nagar,121
Maharajganj,maharajganj,Uttar Pradesh                                     ,9,Maharajganj,164
Mahoba,mahoba,Uttar Pradesh                                     ,9,Mahoba,165
Mainpuri,mainpuri,Uttar Pradesh                                     ,9,Mainpuri,166
Mathura,mathura,Uttar Pradesh                                     ,9,Mathura,167
Mau,mau,Uttar Pradesh                                     ,9,Mau,168
Meerut,meerut,Uttar Pradesh                                     ,9,Meerut,169
Mirzapur,mirzapur,Uttar Pradesh                                     ,9,Mirzapur,170
Moradabad,moradabad,Uttar Pradesh                                     ,9,Moradabad,171
Muzaffarnagar,muzaffarnagar,Uttar Pradesh                                     ,9,Muzaffarnagar,172
Pilibhit,pilibhit,Uttar Pradesh                                     ,9,Pilibhit,173
Amethi,amethi,Uttar Pradesh                                     ,9,Amethi,640
Rae Bareli,rae bareli,Uttar Pradesh                                     ,9,Rae Bareli,175
Rampur,rampur,Uttar Pradesh                                     ,9,Rampur,176
Saharanpur,saharanpur,Uttar Pradesh                                     ,9,Saharanpur,177
Sambhal,sambhal,Uttar Pradesh                                     ,9,Sambhal,659
Sant Kabir Nagar,sant kabir nagar,Uttar Pradesh                                     ,9,Sant Kabeer Nagar,178
Sant Ravi Das Nagar,sant ravi das nagar,Uttar Pradesh                                     ,9,Bhadohi,179
Shahjahanpur,shahjahanpur,Uttar Pradesh                                     ,9,Shahjahanpur,180
Shamli,shamli,Uttar Pradesh                                     ,9,Shamli,660
Shravasti,shravasti,Uttar Pradesh                                     ,9,Shravasti,181
Amroha,amroha,Uttar Pradesh                                     ,9,Amroha,154
Siddharth Nagar,siddharth nagar,Uttar Pradesh                                     ,9,Siddharth Nagar,182
Sitapur,sitapur,Uttar Pradesh                                     ,9,Sitapur,183
Sonbhadra,sonbhadra,Uttar Pradesh                                     ,9,Sonbhadra,184
Sultanpur,sultanpur,Uttar Pradesh                                     ,9,Sultanpur,185
Unnao,unnao,Uttar Pradesh                                     ,9,Unnao,186
Varanasi,varanasi,Uttar Pradesh                                     ,9,Varanasi,187
Auraiya,auraiya,Uttar Pradesh                                     ,9,Auraiya,122
Azamgarh,azamgarh,Uttar Pradesh                                     ,9,Azamgarh,123
Baghpat,baghpat,Uttar Pradesh                                     ,9,Baghpat,124
Rudraprayag,rudraprayag,Uttarakhand,5,Rudra Prayag,54
Tehri Garhwal,tehri garhwal,Uttarakhand,5,Tehri Garhwal,55
Udham Singh Nagar,udham singh nagar,Uttarakhand,5,Udam Singh Nagar,56
Uttarkashi,uttarkashi,Uttarakhand,5,Uttar Kashi,57
Almora,almora,Uttarakhand,5,Almora,45
Bageshwar,bageshwar,Uttarakhand,5,Bageshwar,46
Chamoli,chamoli,Uttarakhand,5,Chamoli,47
Champawat,champawat,Uttarakhand,5,Champawat,48
Dehradun,dehradun,Uttarakhand,5,Dehradun,49
Garhwal,garhwal,Uttarakhand,5,Pauri Garhwal,52
Hardwar,hardwar,Uttarakhand,5,Haridwar,50
Nainital,nainital,Uttarakhand,5,Nainital,51
Pithoragarh,pithoragarh,Uttarakhand,5,Pithoragarh,53
Koch Bihar,koch bihar,West Bengal                                       ,19,Coochbehar,308
Kolkata,kolkata,West Bengal                                       ,19,Kolkata,315
Maldah,maldah,West Bengal                                       ,19,Maldah,316
Murshidabad,murshidabad,West Bengal                                       ,19,Murshidabad,319
Nadia,nadia,West Bengal                                       ,19,Nadia,320
North 24 Parganas,north 24 parganas,West Bengal                                       ,19,24 Paraganas North,303
Pashchim Medinipur,pashchim medinipur,West Bengal                                       ,19,Medinipur West,318
Purba Medinipur,purba medinipur,West Bengal                                       ,19,Medinipur East,317
Puruliya,puruliya,West Bengal                                       ,19,Purulia,321
South 24 Parganas,south 24 parganas,West Bengal                                       ,19,24 Paraganas South,304
Alipurduar,alipurduar,West Bengal                                       ,19,Alipurduar,664
Uttar Dinajpur,uttar dinajpur,West Bengal                                       ,19,Dinajpur Uttar,311
Bankura,bankura,West Bengal                                       ,19,Bankura,305
Barddhaman,barddhaman,West Bengal                                       ,19,Purba Bardhaman,306
Birbhum,birbhum,West Bengal                                       ,19,Birbhum,307
Dakshin Dinajpur,dakshin dinajpur,West Bengal                                       ,19,Dinajpur Dakshin,310
Darjiling,darjiling,West Bengal                                       ,19,Darjeeling,309
Haora,haora,West Bengal                                       ,19,Howrah,313
Hugli,hugli,West Bengal                                       ,19,Hooghly,312
Jalpaiguri,jalpaiguri,West Bengal                                       ,19,Jalpaiguri,314
Dima Hasao,dima hasao,Assam                                             ,18,Dima Hasao,299
Goalpara,goalpara,Assam                                             ,18,Goalpara,287
Golaghat,golaghat,Assam                                             ,18,Golaghat,288
Hailakandi,hailakandi,Assam                                             ,18,Hailakandi,289
Jorhat,jorhat,Assam                                             ,18,Jorhat,290
Kamrup Metropolitan,kamrup metropolitan,Assam                                             ,18,Kamrup Metro,618
Kamrup,kamrup,Assam                                             ,18,Kamrup,291
Karbi Anglong,karbi anglong,Assam                                             ,18,Karbi Anglong,292
Karimganj,karimganj,Assam                                             ,18,Karimganj,293
Kokrajhar,kokrajhar,Assam                                             ,18,Kokrajhar,294
Baksa,baksa,Assam                                             ,18,Baksa,616
Lakhimpur,lakhimpur,Assam                                             ,18,Lakhimpur,295
Morigaon,morigaon,Assam                                             ,18,Marigaon,296
Nagaon,nagaon,Assam                                             ,18,Nagaon,297
Nalbari,nalbari,Assam                                             ,18,Nalbari,298
Sivasagar,sivasagar,Assam                                             ,18,Sivasagar,300
Sonitpur,sonitpur,Assam                                             ,18,Sonitpur,301
Tinsukia,tinsukia,Assam                                             ,18,Tinsukia,302
Udalguri,udalguri,Assam                                             ,18,Udalguri,617
Barpeta,barpeta,Assam                                             ,18,Barpeta,280
Bongaigaon,bongaigaon,Assam                                             ,18,Bongaigaon,281
Cachar,cachar,Assam                                             ,18,Cachar,282
Chirang,chirang,Assam                                             ,18,Chirang,612
Darrang,darrang,Assam                                             ,18,Darrang,283
Dhemaji,dhemaji,Assam                                             ,18,Dhemaji,284
Dhubri,dhubri,Assam                                             ,18,Dhubri,285
Dibrugarh,dibrugarh,Assam                                             ,18,Dibrugarh,286
Gaya,gaya,Bihar                                             ,10,Gaya,196
Gopalganj,gopalganj,Bihar                                             ,10,Gopalganj,197
Jamui,jamui,Bihar                                             ,10,Jamui,198
Jehanabad,jehanabad,Bihar                                             ,10,Jehanabad,199
Kaimur,kaimur,Bihar                                             ,10,Kaimur (Bhabua),200
Katihar,katihar,Bihar                                             ,10,Katihar,201
Khagaria,khagaria,Bihar                                             ,10,Khagaria,202
Kishanganj,kishanganj,Bihar                                             ,10,Kishanganj,203
Lakhisarai,lakhisarai,Bihar                                             ,10,Lakhisarai,204
Madhepura,madhepura,Bihar                                             ,10,Madhepura,205
Araria,araria,Bihar                                             ,10,Araria,188
Madhubani,madhubani,Bihar                                             ,10,Madhubani,206
Munger,munger,Bihar                                             ,10,Munger,207
Muzaffarpur,muzaffarpur,Bihar                                             ,10,Muzaffarpur,208
Nalanda,nalanda,Bihar                                             ,10,Nalanda,209
Nawada,nawada,Bihar                                             ,10,Nawada,210
Pashchim Champaran,pashchim champaran,Bihar                                             ,10,Pashchim Champaran,211
Patna,patna,Bihar                                             ,10,Patna,212
Purba Champaran,purba champaran,Bihar                                             ,10,Purbi Champaran,213
Purnia,purnia,Bihar                                             ,10,Purnia,214
Rohtas,rohtas,Bihar                                             ,10,Rohtas,215
Arwal,arwal,Bihar                                             ,10,Arwal,611
Saharsa,saharsa,Bihar                                             ,10,Saharsa,216
Samastipur,samastipur,Bihar                                             ,10,Samastipur,217
Saran,saran,Bihar                                             ,10,Saran,218
Sheikhpura,sheikhpura,Bihar                                             ,10,Sheikhpura,219
Sheohar,sheohar,Bihar                                             ,10,Sheohar,220
Sitamarhi,sitamarhi,Bihar                                             ,10,Sitamarhi,221
Siwan,siwan,Bihar                                             ,10,Siwan,222
Supaul,supaul,Bihar                                             ,10,Supaul,223
Vaishali,vaishali,Bihar                                             ,10,Vaishali,224
Banka,banka,Bihar                                             ,10,Banka,190
Begusarai,begusarai,Bihar                                             ,10,Begusarai,191
Bhagalpur,bhagalpur,Bihar                                             ,10,Bhagalpur,192
Bhojpur,bhojpur,Bihar                                             ,10,Bhojpur,193
Buxar,buxar,Bihar                                             ,10,Buxar,194
Darbhanga,darbhanga,Bihar                                             ,10,Darbhanga,195
Chandigarh,chandigarh,Chandigarh,4,Chandigarh,44
Durg,durg,Chhattisgarh                                      ,22,Durg,378
Gariaband,gariaband,Chhattisgarh                                      ,22,Gariyaband,645
Janjgir-Champa,janjgir-champa,Chhattisgarh                                      ,22,Janjgir-Champa,379
Jashpur,jashpur,Chhattisgarh                                      ,22,Jashpur,380
Kabeerdham,kabeerdham,Chhattisgarh                                      ,22,Kabirdham,382
Kondagaon,kondagaon,Chhattisgarh                                      ,22,Kondagaon,643
Korba,korba,Chhattisgarh                                      ,22,Korba,383
Koriya,koriya,Chhattisgarh                                      ,22,Korea,384
Mahasamund,mahasamund,Chhattisgarh                                      ,22,Mahasamund,385
Mungeli,mungeli,Chhattisgarh                                      ,22,Mungeli,647
Baloda Bazar,baloda bazar,Chhattisgarh                                      ,22,Baloda Bazar,644
Narayanpur,narayanpur,Chhattisgarh                                      ,22,Narayanpur,637
Raipur,raipur,Chhattisgarh                                      ,22,Raipur,387
Rajnandgaon,rajnandgaon,Chhattisgarh                                      ,22,Rajnandgaon,388
Sukma,sukma,Chhattisgarh                                      ,22,Sukma,642
Surajpur,surajpur,Chhattisgarh                                      ,22,Surajpur,648
Surguja,surguja,Chhattisgarh                                      ,22,Surguja,389
Uttar Bastar Kanker,uttar bastar kanker,Chhattisgarh                                      ,22,Kanker,381
Balod,balod,Chhattisgarh                                      ,22,Balod,646
Bastar,bastar,Chhattisgarh                                      ,22,Bastar,374
Bemetara,bemetara,Chhattisgarh                                      ,22,Bemetara,650
Dantewada,dantewada,Chhattisgarh                                      ,22,Dantewada,376
Dhamtari,dhamtari,Chhattisgarh                                      ,22,Dhamtari,377
Dadra and Nagar Haveli,dadra and nagar haveli,The Dadra and Nagar Haveli and Daman and Diu,38,Dadra and Nagar Haveli,465
Daman,daman,The Dadra and Nagar Haveli and Daman and Diu,38,Daman,463
Diu,diu,The Dadra and Nagar Haveli and Daman and Diu,38,Diu,464
